region_name,year,gdp_value
Piemonte,2014,122618.21
Piemonte,2015,124935.26
Piemonte,2016,128307.78
Piemonte,2017,132629.01
Piemonte,2018,135217.37
Piemonte,2019,135773
Piemonte,2020,124690.35
Piemonte,2021,137549.76
Piemonte,2022,146739.71
Piemonte,2023,159055.31
Piemonte,2024,164165.06
Valle d Aosta,2014,4635.41
Valle d Aosta,2015,4650.8
Valle d Aosta,2016,4597.42
Valle d Aosta,2017,4770.59
Valle d Aosta,2018,4809.66
Valle d Aosta,2019,4850.71
Valle d Aosta,2020,4443.55
Valle d Aosta,2021,4788.34
Valle d Aosta,2022,5403.11
Valle d Aosta,2023,5802.11
Valle d Aosta,2024,5852.16
Liguria,2014,46247.29
Liguria,2015,46816.48
Liguria,2016,47698.86
Liguria,2017,48730.58
Liguria,2018,48880.14
Liguria,2019,49636.89
Liguria,2020,45030.96
Liguria,2021,49520.59
Liguria,2022,53352.22
Liguria,2023,58464.44
Liguria,2024,58958.93
Lombardia,2014,361868.9
Lombardia,2015,369561.13
Lombardia,2016,380020.82
Lombardia,2017,389888.35
Lombardia,2018,400386.45
Lombardia,2019,404739.2
Lombardia,2020,379669.75
Lombardia,2021,423769.34
Lombardia,2022,457351.85
Lombardia,2023,490692.89
Lombardia,2024,504729.96
Abruzzo,2014,31574.65
Abruzzo,2015,31804.98
Abruzzo,2016,31953.48
Abruzzo,2017,32743.78
Abruzzo,2018,32806.28
Abruzzo,2019,33040.92
Abruzzo,2020,30574.73
Abruzzo,2021,33616.68
Abruzzo,2022,36420.35
Abruzzo,2023,39536.1
Abruzzo,2024,40760.57
Molise,2014,6141.23
Molise,2015,6253.04
Molise,2016,6350.85
Molise,2017,6502.72
Molise,2018,6620.26
Molise,2019,6755
Molise,2020,6245.35
Molise,2021,6848.03
Molise,2022,7291
Molise,2023,7874.47
Molise,2024,7986.7
Campania,2014,101114.43
Campania,2015,103549.99
Campania,2016,105337.88
Campania,2017,107537.38
Campania,2018,108682.75
Campania,2019,110938.87
Campania,2020,102588.1
Campania,2021,112145.16
Campania,2022,122639.05
Campania,2023,133040.27
Campania,2024,137510.98
Puglia,2014,70644.57
Puglia,2015,72096.39
Puglia,2016,73394.97
Puglia,2017,74392.32
Puglia,2018,75556.19
Puglia,2019,76516.12
Puglia,2020,71959.8
Puglia,2021,79660.86
Puglia,2022,86403.29
Puglia,2023,92160.48
Puglia,2024,94507.89
Basilicata,2014,11144.6
Basilicata,2015,12010.71
Basilicata,2016,12001.16
Basilicata,2017,12101.6
Basilicata,2018,12668.36
Basilicata,2019,12504.33
Basilicata,2020,11330.65
Basilicata,2021,12967.58
Basilicata,2022,13966.85
Basilicata,2023,14836.27
Basilicata,2024,15083.47
Calabria,2014,32131.21
Calabria,2015,32431.98
Calabria,2016,32949.1
Calabria,2017,33604.78
Calabria,2018,33359.67
Calabria,2019,33630.74
Calabria,2020,31264.47
Calabria,2021,34204.51
Calabria,2022,36561.72
Calabria,2023,39064.46
Calabria,2024,40003.45
Sicilia,2014,84090.89
Sicilia,2015,85527.92
Sicilia,2016,86176.88
Sicilia,2017,87900.53
Sicilia,2018,87938.98
Sicilia,2019,89049.57
Sicilia,2020,83725.38
Sicilia,2021,92299.85
Sicilia,2022,102503.44
Sicilia,2023,107067.1
Sicilia,2024,112029.68
Sardegna,2014,32413.98
Sardegna,2015,33496.92
Sardegna,2016,33124.6
Sardegna,2017,33750.12
Sardegna,2018,34244.13
Sardegna,2019,34959.95
Sardegna,2020,32333.23
Sardegna,2021,35700.02
Sardegna,2022,38868.25
Sardegna,2023,41800.26
Sardegna,2024,43467.53
Provincia Autonoma di Bolzano/Bozen,2014,22437.52
Provincia Autonoma di Bolzano/Bozen,2015,22934.56
Provincia Autonoma di Bolzano/Bozen,2016,23474.13
Provincia Autonoma di Bolzano/Bozen,2017,24331.23
Provincia Autonoma di Bolzano/Bozen,2018,25347.73
Provincia Autonoma di Bolzano/Bozen,2019,26112.74
Provincia Autonoma di Bolzano/Bozen,2020,24348.13
Provincia Autonoma di Bolzano/Bozen,2021,26606.37
Provincia Autonoma di Bolzano/Bozen,2022,29801.65
Provincia Autonoma di Bolzano/Bozen,2023,32935.64
Provincia Autonoma di Bolzano/Bozen,2024,33079.54
Provincia Autonoma di Trento,2014,18954.38
