region_name,year,crude_oil_price,gdp_value
Abruzzo,2014,98.97,31574.65
Abruzzo,2015,52.32,31804.98
Abruzzo,2016,43.64,31953.48
Abruzzo,2017,54.12,32743.78
Abruzzo,2018,71.34,32806.28
Abruzzo,2019,64.30,33040.92
Abruzzo,2020,41.96,30574.73
Abruzzo,2021,70.86,33616.68
Abruzzo,2022,100.93,36420.35
Abruzzo,2023,82.49,39536.10
Abruzzo,2024,80.52,40760.57
Basilicata,2014,98.97,11144.60
Basilicata,2015,52.32,12010.71
Basilicata,2016,43.64,12001.16
Basilicata,2017,54.12,12101.60
Basilicata,2018,71.34,12668.36
Basilicata,2019,64.30,12504.33
Basilicata,2020,41.96,11330.65
Basilicata,2021,70.86,12967.58
Basilicata,2022,100.93,13966.85
Basilicata,2023,82.49,14836.27
Basilicata,2024,80.52,15083.47
Calabria,2014,98.97,32131.21
Calabria,2015,52.32,32431.98
Calabria,2016,43.64,32949.10
Calabria,2017,54.12,33604.78
Calabria,2018,71.34,33359.67
Calabria,2019,64.30,33630.74
Calabria,2020,41.96,31264.47
Calabria,2021,70.86,34204.51
Calabria,2022,100.93,36561.72
Calabria,2023,82.49,39064.46
Calabria,2024,80.52,40003.45
Campania,2014,98.97,101114.43
Campania,2015,52.32,103549.99
Campania,2016,43.64,105337.88
Campania,2017,54.12,107537.38
Campania,2018,71.34,108682.75
Campania,2019,64.30,110938.87
Campania,2020,41.96,102588.10
Campania,2021,70.86,112145.16
Campania,2022,100.93,122639.05
Campania,2023,82.49,133040.27
Campania,2024,80.52,137510.98
Emilia-Romagna,2014,98.97,146323.67
Emilia-Romagna,2015,52.32,148966.68
Emilia-Romagna,2016,43.64,153805.67
Emilia-Romagna,2017,54.12,158027.17
Emilia-Romagna,2018,71.34,161556.51
Emilia-Romagna,2019,64.30,162928.75
Emilia-Romagna,2020,41.96,152125.33
Emilia-Romagna,2021,70.86,168983.59
Emilia-Romagna,2022,100.93,180468.76
Emilia-Romagna,2023,82.49,194365.53
Emilia-Romagna,2024,80.52,198395.23
"Friuli-Venezia Giulia",2014,98.97,34919.38
"Friuli-Venezia Giulia",2015,52.32,35867.79
"Friuli-Venezia Giulia",2016,43.64,36316.00
"Friuli-Venezia Giulia",2017,54.12,37064.09
"Friuli-Venezia Giulia",2018,71.34,38082.04
"Friuli-Venezia Giulia",2019,64.30,39007.17
"Friuli-Venezia Giulia",2020,41.96,36431.46
"Friuli-Venezia Giulia",2021,70.86,40494.97
"Friuli-Venezia Giulia",2022,100.93,42712.77
"Friuli-Venezia Giulia",2023,82.49,45063.15
"Friuli-Venezia Giulia",2024,80.52,46601.88
Lazio,2014,98.97,189082.76
Lazio,2015,52.32,189295.41
Lazio,2016,43.64,197523.61
Lazio,2017,54.12,200195.57
Lazio,2018,71.34,203151.22
Lazio,2019,64.30,206485.70
Lazio,2020,41.96,190846.32
Lazio,2021,70.86,204585.32
Lazio,2022,100.93,227511.30
Lazio,2023,82.49,241432.47
Lazio,2024,80.52,246486.53
Liguria,2014,98.97,46247.29
Liguria,2015,52.32,46816.48
Liguria,2016,43.64,47698.86
Liguria,2017,54.12,48730.58
Liguria,2018,71.34,48880.14
Liguria,2019,64.30,49636.89
Liguria,2020,41.96,45030.96
Liguria,2021,70.86,49520.59
Liguria,2022,100.93,53352.22
Liguria,2023,82.49,58464.44
Liguria,2024,80.52,58958.93
Lombardia,2014,98.97,361868.90
Lombardia,2015,52.32,369561.13
Lombardia,2016,43.64,380020.82
Lombardia,2017,54.12,389888.35
Lombardia,2018,71.34,400386.45
Lombardia,2019,64.30,404739.20
Lombardia,2020,41.96,379669.75
Lombardia,2021,70.86,423769.34
Lombardia,2022,100.93,457351.85
Lombardia,2023,82.49,490692.89
Lombardia,2024,80.52,504729.96
Marche,2014,98.97,39426.29
Marche,2015,52.32,39568.53
Marche,2016,43.64,40358.12
Marche,2017,54.12,41229.28
Marche,2018,71.34,41854.33
Marche,2019,64.30,42596.26
Marche,2020,41.96,39262.95
Marche,2021,70.86,43161.87
Marche,2022,100.93,46329.80
Marche,2023,82.49,49374.18
Marche,2024,80.52,50509.69
Molise,2014,98.97,6141.23
Molise,2015,52.32,6253.04
Molise,2016,43.64,6350.85
Molise,2017,54.12,6502.72
Molise,2018,71.34,6620.26
Molise,2019,64.30,6755.00
Molise,2020,41.96,6245.35
Molise,2021,70.86,6848.03
Molise,2022,100.93,7291.00
Molise,2023,82.49,7874.47
Molise,2024,80.52,7986.70
Piemonte,2014,98.97,122618.21
Piemonte,2015,52.32,124935.26
Piemonte,2016,43.64,128307.78
Piemonte,2017,54.12,132629.01
Piemonte,2018,71.34,135217.37
Piemonte,2019,64.30,135773.00
Piemonte,2020,41.96,124690.35
Piemonte,2021,70.86,137549.76
Piemonte,2022,100.93,146739.71
Piemonte,2023,82.49,159055.31
Piemonte,2024,80.52,164165.06
"Provincia Autonoma di Bolzano/Bozen",2014,98.97,22437.52
"Provincia Autonoma di Bolzano/Bozen",2015,52.32,22934.56
"Provincia Autonoma di Bolzano/Bozen",2016,43.64,23474.13
"Provincia Autonoma di Bolzano/Bozen",2017,54.12,24331.23
"Provincia Autonoma di Bolzano/Bozen",2018,71.34,25347.73
"Provincia Autonoma di Bolzano/Bozen",2019,64.30,26112.74
"Provincia Autonoma di Bolzano/Bozen",2020,41.96,24348.13
"Provincia Autonoma di Bolzano/Bozen",2021,70.86,26606.37
"Provincia Autonoma di Bolzano/Bozen",2022,100.93,29801.65
"Provincia Autonoma di Bolzano/Bozen",2023,82.49,32935.64
"Provincia Autonoma di Bolzano/Bozen",2024,80.52,33079.54
"Provincia Autonoma di Trento",2014,98.97,18954.38
"Provincia Autonoma di Trento",2015,52.32,18934.48
"Provincia Autonoma di Trento",2016,43.64,19239.18
"Provincia Autonoma di Trento",2017,54.12,19635.27
"Provincia Autonoma di Trento",2018,71.34,20417.53
"Provincia Autonoma di Trento",2019,64.30,20990.57
"Provincia Autonoma di Trento",2020,41.96,19727.91
"Provincia Autonoma di Trento",2021,70.86,21353.04
"Provincia Autonoma di Trento",2022,100.93,23730.26
"Provincia Autonoma di Trento",2023,82.49,25456.34
"Provincia Autonoma di Trento",2024,80.52,26055.72
Puglia,2014,98.97,70644.57
Puglia,2015,52.32,72096.39
Puglia,2016,43.64,73394.97
Puglia,2017,54.12,74392.32
Puglia,2018,71.34,75556.19
Puglia,2019,64.30,76516.12
Puglia,2020,41.96,71959.80
Puglia,2021,70.86,79660.86
Puglia,2022,100.93,86403.29
Puglia,2023,82.49,92160.48
Puglia,2024,80.52,94507.89
Sardegna,2014,98.97,32413.98
Sardegna,2015,52.32,33496.92
Sardegna,2016,43.64,33124.60
Sardegna,2017,54.12,33750.12
Sardegna,2018,71.34,34244.13
Sardegna,2019,64.30,34959.95
Sardegna,2020,41.96,32333.23
Sardegna,2021,70.86,35700.02
Sardegna,2022,100.93,38868.25
Sardegna,2023,82.49,41800.26
Sardegna,2024,80.52,43467.53
Sicilia,2014,98.97,84090.89
Sicilia,2015,52.32,85527.92
Sicilia,2016,43.64,86176.88
Sicilia,2017,54.12,87900.53
Sicilia,2018,71.34,87938.98
Sicilia,2019,64.30,89049.57
Sicilia,2020,41.96,83725.38
Sicilia,2021,70.86,92299.85
Sicilia,2022,100.93,102503.44
Sicilia,2023,82.49,107067.10
Sicilia,2024,80.52,112029.68
Toscana,2014,98.97,108877.96
Toscana,2015,52.32,109949.16
Toscana,2016,43.64,112443.94
Toscana,2017,54.12,114868.50
Toscana,2018,71.34,117534.22
Toscana,2019,64.30,122134.12
Toscana,2020,41.96,108018.04
Toscana,2021,70.86,119472.41
Toscana,2022,100.93,130459.87
Toscana,2023,82.49,139527.64
Toscana,2024,80.52,143563.30
Umbria,2014,98.97,20845.27
Umbria,2015,52.32,21439.67
Umbria,2016,43.64,21545.43
Umbria,2017,54.12,22055.64
Umbria,2018,71.34,22680.08
Umbria,2019,64.30,22832.79
Umbria,2020,41.96,20985.61
Umbria,2021,70.86,23023.83
Umbria,2022,100.93,24727.95
Umbria,2023,82.49,26868.16
Umbria,2024,80.52,27673.58
"Valle d Aosta",2014,98.97,4635.41
"Valle d Aosta",2015,52.32,4650.80
"Valle d Aosta",2016,43.64,4597.42
"Valle d Aosta",2017,54.12,4770.59
"Valle d Aosta",2018,71.34,4809.66
"Valle d Aosta",2019,64.30,4850.71
"Valle d Aosta",2020,41.96,4443.55
"Valle d Aosta",2021,70.86,4788.34
"Valle d Aosta",2022,100.93,5403.11
"Valle d Aosta",2023,82.49,5802.11
"Valle d Aosta",2024,80.52,5852.16
Veneto,2014,98.97,148957.46
Veneto,2015,52.32,151974.78
Veneto,2016,43.64,157045.00
Veneto,2017,54.12,161147.13
Veneto,2018,71.34,164480.29
Veneto,2019,64.30,167403.97
Veneto,2020,41.96,153458.49
Veneto,2021,70.86,169965.80
Veneto,2022,100.93,183956.46
Veneto,2023,82.49,197226.12
Veneto,2024,80.52,201245.73
